t,V,I
85203.37983,3.038578074,-0.01
85263.37983,3.038809192,-0.01
85323.37983,3.039040086,-0.01
85383.37983,3.039270757,-0.01
85443.37983,3.039501205,-0.01
85503.37983,3.039731429,-0.01
85563.37983,3.039961431,-0.01
85623.37983,3.040191211,-0.01
85683.37983,3.040420769,-0.01
85743.37983,3.040650105,-0.01
85803.37983,3.040879219,-0.01
85863.37983,3.041108112,-0.01
85923.37983,3.041336785,-0.01
85983.37983,3.041565236,-0.01
86043.37983,3.041793467,-0.01
86103.37983,3.042021479,-0.01
86163.37983,3.04224927,-0.01
86223.37983,3.042476842,-0.01
86283.37983,3.042704194,-0.01
86343.37983,3.042931328,-0.01
86403.37983,3.043158243,-0.01
86463.37983,3.043384939,-0.01
86523.37983,3.043611417,-0.01
86583.37983,3.043837677,-0.01
86643.37983,3.04406372,-0.01
86703.37983,3.044289545,-0.01
86763.37983,3.044515154,-0.01
86823.37983,3.044740545,-0.01
86883.37983,3.04496572,-0.01
86943.37983,3.045190679,-0.01
87003.37983,3.045415422,-0.01
87063.37983,3.045639949,-0.01
87123.37983,3.045864261,-0.01
87183.37983,3.046088358,-0.01
87243.37983,3.046312239,-0.01
87303.37983,3.046535906,-0.01
